# sub	sup	accept|reject	reason	sub_wn	sup_wn — rulings Claude made under Peter's standing permission (moved out of review.tsv 2026-09-03 so attribution is honest; the `claude-ruling` witness)
approximation-algorithm	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
online-algorithm	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
multi-armed-bandit	problem	accept	ai skeleton, second wave [2026-09-03]		06784003
thompson-sampling	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
upper-confidence-bound	algorithm	accept	ai skeleton, second wave [2026-09-03]		05847438
exploration-exploitation-dilemma	problem	accept	ai skeleton, second wave [2026-09-03]		06784003
value-function	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
bellman-equation	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
actor-critic-algorithm	reinforcement-learning	accept	ai skeleton, second wave [2026-09-03]		
deep-q-network	deep-reinforcement-learning	accept	ai skeleton, second wave [2026-09-03]		
inverse-reinforcement-learning	reinforcement-learning	accept	ai skeleton, second wave [2026-09-03]		
apprenticeship-learning	imitation-learning	accept	ai skeleton, second wave [2026-09-03]		
reward-hacking	specification-gaming	accept	ai skeleton, second wave [2026-09-03]		
specification-gaming	problem	accept	ai skeleton, second wave [2026-09-03]		06784003
goodharts-law	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
instrumental-convergence	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
existential-risk-from-agi	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
scalable-oversight	ai-alignment	accept	ai skeleton, second wave [2026-09-03]		
cognitive-computing	artificial-intelligence	accept	ai skeleton, second wave [2026-09-03]		06133203
emotion-recognition	affective-computing	accept	ai skeleton, second wave [2026-09-03]		
collective-intelligence	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
human-based-computation	computer-science	accept	ai skeleton, second wave [2026-09-03]		06128570
intelligent-tutoring-system	software	accept	ai skeleton, second wave [2026-09-03]		06566077
learning-analytics	field-of-study	accept	ai skeleton, second wave [2026-09-03]		05996646
educational-data-mining	data-mining	accept	ai skeleton, second wave [2026-09-03]		13455234
user-modeling	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
preference-elicitation	procedure	accept	ai skeleton, second wave [2026-09-03]		01023820
virtual-human	computer-simulation	accept	ai skeleton, second wave [2026-09-03]		05666700
digital-twin	computer-simulation	accept	ai skeleton, second wave [2026-09-03]		05666700
artificial-society	agent-based-model	accept	ai skeleton, second wave [2026-09-03]		
brain-computer-interface	device	accept	ai skeleton, second wave [2026-09-03]		03183080
uncanny-valley	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
robot-rights	concept	accept	ai skeleton, second wave [2026-09-03]		05835747
value-alignment	ai-alignment	accept	ai skeleton, second wave [2026-09-03]		
ethics-of-artificial-intelligence	field-of-study	accept	ai skeleton, second wave [2026-09-03]		05996646
governance-of-artificial-intelligence	management	accept	ai skeleton, second wave [2026-09-03]		01133281
regulation-of-artificial-intelligence	law	accept	ai skeleton, second wave [2026-09-03]		06161718
data-mining	computer-science	accept	ai skeleton, second wave [2026-09-03]	13455234	06128570
unmanned-aerial-vehicle	aircraft	accept	ai skeleton, second wave [2026-09-03]		02686568
triplestore	software	accept	a database for triples; core's database is unplaced		06566077
speaker-verification	signal-processing	accept	second reading [2026-09-03]		
retrieval-augmented-generation	natural-language-processing	accept	second reading [2026-09-03]		
active-learning	machine-learning	accept	second reading [2026-09-03]		
artificial-immune-system	computational-intelligence	accept	second reading [2026-09-03]		
conversational-ai	natural-language-processing	accept	second reading [2026-09-03]		
vector-database	software	accept	second reading [2026-09-03]		
robot-end-effector	device	accept	second reading [2026-09-03]		
semantic-network	knowledge-representation	accept	second reading [2026-09-03]		
causal-diagram	statistical-model	accept	second reading [2026-09-03]		
